Disaster Type,Continent,Start Year,Start Month,Total Deaths,No Affected,Total Affected
Flood,Asia,2007,7,2,10000,10000
Flood,Africa,2008,3,2,10000,10000
Storm,Asia,2015,4,2,10000,10000
Flood,Americas,2016,2,2,10000,10000
Flood,Africa,2020,4,2,10000,10000
Storm,Americas,2005,10,1,10000,10000
Flood,Africa,2009,8,1,10000,10000
Storm,Asia,2014,3,1,10000,10000
Storm,Asia,2015,4,1,10000,10000
Flood,Africa,2004,3,0,0,10000
Flood,Africa,2005,1,0,0,10000
Flood,Oceania,2004,3,0,10000,10000
Flood,Africa,2004,11,0,10000,10000
Flood,Africa,2006,9,0,0,10000
Flood,Africa,2006,4,0,10000,10000
Flood,Africa,2006,8,0,0,10000
Flood,Oceania,2010,9,0,10000,10000
Storm,Americas,2011,8,0,10000,10000
Earthquake,Africa,2014,3,0,10000,10000
Flood,Americas,2015,10,0,10000,10000
Flood,Africa,2016,4,0,10000,10000
Flood,Africa,2017,8,0,10000,10000
Storm,Oceania,2019,2,0,10000,10000
Flood,Europe,2019,8,0,10000,10000
Wildfire,Oceania,2009,2,180,9454,9954
Flood,Americas,2009,5,11,0,9910
Flood,Oceania,2019,1,3,9900,9900
Storm,Asia,2018,8,0,9900,9900
Earthquake,Oceania,2016,12,0,9769,9770
Flood,Africa,2020,1,3,9743,9762
Flood,Asia,2011,5,37,0,9745
Flood,Africa,2013,1,125,9700,9700
Flood,Americas,2018,8,0,9700,9700
Flood,Africa,2010,9,18,9674,9674
Flood,Americas,2015,6,0,9666,9666
Storm,Asia,2014,3,17,9610,9610
Flood,Asia,2017,7,12,9600,9600
Earthquake,Asia,2019,7,0,9525,9577
Flood,Americas,2012,7,6,9523,9523
Storm,Africa,2014,3,0,9511,9511
Earthquake,Asia,2011,3,0,9496,9508
Flood,Asia,2013,4,20,9500,9500
Flood,Africa,2016,7,13,9500,9500
Flood,Americas,2010,7,6,9500,9500
Flood,Americas,2008,9,0,9498,9498
Flood,Asia,2012,8,26,9460,9460
Flood,Asia,2019,10,0,9435,9435
Flood,Asia,2012,2,0,9400,9400
