Disaster Type,Continent,Start Year,Start Month,Total Deaths,No Affected,Total Affected
Flood,Asia,2013,6,55,625000,625000
Flood,Asia,2006,12,236,618486,618486
Flood,Asia,2008,8,12,600000,615638
Earthquake,Asia,2005,11,16,607500,615500
Storm,Asia,2018,8,0,615145,615145
Flood,Africa,2009,2,31,614814,614814
Storm,Asia,2016,10,34,610000,610000
Flood,Asia,2010,5,28,606072,606072
Flood,Asia,2017,10,9,605000,605000
Storm,Asia,2006,5,204,600000,600000
Flood,Asia,2008,10,99,600000,600000
Flood,Asia,2011,9,85,600000,600000
Flood,Asia,2004,9,20,600000,600000
Storm,Asia,2020,5,20,600000,600000
Flood,Africa,2012,7,20,594831,594831
Flood,Asia,2013,9,33,588147,588155
Storm,Asia,2010,7,146,585383,585474
Flood,Asia,2016,12,14,582343,582343
Storm,Americas,2017,8,88,555000,582024
Flood,Asia,2018,8,148,581268,581268
Storm,Asia,2014,12,72,578549,578549
Earthquake,Asia,2011,9,112,500000,575200
Flood,Africa,2007,7,150,365000,565335
Flood,Asia,2016,12,27,559255,562121
Flood,Asia,2004,6,0,556000,556073
Flood,Asia,2005,9,89,550000,550000
Earthquake,Oceania,2018,2,145,544000,544300
Storm,Oceania,2016,2,45,540414,540558
Flood,Asia,2008,5,64,538000,538166
Earthquake,Asia,2013,8,3,538000,538050
Flood,Asia,2009,1,33,537976,537991
Earthquake,Asia,2004,12,165708,0,532898
Flood,Africa,2012,7,91,530952,530952
Flood,Asia,2014,7,45,472500,530450
Flood,Americas,2011,10,43,528735,528753
Storm,Africa,2008,2,93,332391,524153
Flood,Asia,2017,6,284,520000,520000
Earthquake,Asia,2018,8,564,445343,516927
Earthquake,Americas,2014,4,6,513387,513387
Flood,Asia,2013,1,10,507769,507769
Storm,Asia,2013,9,20,506000,506000
Flood,Asia,2009,7,22,505102,505102
Flood,Asia,2013,6,6054,500000,504473
Flood,Asia,2006,5,21,504000,504000
Earthquake,Asia,2015,10,280,366945,502590
Flood,Asia,2019,12,66,501000,501110
Storm,Asia,2009,11,124,500000,500145
Flood,Africa,2013,8,76,500000,500133
Storm,Europe,2010,2,53,500000,500079
Flood,Americas,2014,6,11,500000,500052
Storm,Americas,2005,8,1833,500000,500000
Flood,Asia,2013,7,174,500000,500000
Storm,Asia,2010,4,114,0,500000
Flood,Africa,2011,3,108,500000,500000
Flood,Asia,2014,8,94,500000,500000
Flood,Asia,2012,7,70,500000,500000
Storm,Asia,2004,11,56,500000,500000
Storm,Asia,2018,11,45,500000,500000
Flood,Africa,2019,10,17,500000,500000
Flood,Asia,2007,8,15,500000,500000
Flood,Asia,2010,10,15,500000,500000
Flood,Asia,2004,8,9,500000,500000
Flood,Asia,2009,7,6,500000,500000
Storm,Americas,2008,7,2,500000,500000
Flood,Americas,2011,9,135,498820,498924
Flood,Africa,2016,5,100,490000,490000
Flood,Americas,2007,12,75,485000,485000
Storm,Asia,2006,6,8,476027,476027
Storm,Americas,2005,10,1513,474928,475314
Storm,Asia,2013,10,8,475000,475000
Flood,Americas,2005,9,101,474493,474607
Flood,Asia,2016,7,5,474560,474560
Flood,Asia,2011,10,13,461570,461584
Flood,Asia,2005,6,39,460073,460073
Earthquake,Asia,2007,9,25,422685,459567
Storm,Asia,2005,4,19,458800,458855
Flood,Asia,2010,11,16,450673,450673
Storm,Americas,2008,8,0,450000,450019
Flood,Americas,2008,2,40,450000,450012
Flood,Asia,2018,5,112,450000,450000
Flood,Asia,2014,6,37,450000,450000
Flood,Americas,2016,10,6,450000,450000
Earthquake,Asia,2014,2,0,450000,450000
Flood,Asia,2012,12,53,447000,447021
Storm,Asia,2011,5,0,446907,446907
Storm,Asia,2007,11,29,443109,443115
Flood,Asia,2014,6,37,440000,440000
Flood,Asia,2019,9,12,435000,435000
Storm,Africa,2017,3,81,434000,434253
Storm,Asia,2014,9,4,431085,431086
Storm,Asia,2011,5,37,430081,430092
Flood,Asia,2011,8,34,430000,430000
Storm,Asia,2008,8,38,429450,429463
Earthquake,Asia,2013,3,0,417170,427740
Flood,Africa,2013,8,98,425000,425000
Flood,Asia,2007,8,74,416000,416130
Flood,Asia,2006,12,0,415618,415618
Flood,Asia,2008,10,67,411000,411000
Wildfire,Asia,2015,9,19,409664,409664
Flood,Asia,2005,6,239,405000,405000
Storm,Asia,2011,8,43,403193,403230
Storm,Asia,2009,5,77,400954,401007
Storm,Africa,2019,4,45,400000,400094
Flood,Asia,2010,7,53,0,400000
Storm,Asia,2014,3,21,400000,400000
Storm,Europe,2005,1,2,400000,400000
Flood,Asia,2004,7,0,400000,400000
Flood,Asia,2014,9,0,400000,400000
Flood,Africa,2019,11,43,399840,399894
Storm,Americas,2010,5,174,397808,397962
Storm,Asia,2013,8,18,395723,395730
Earthquake,Asia,2019,12,14,394355,394565
Storm,Asia,2014,9,9,394000,394000
Storm,Asia,2019,10,99,390000,390470
Storm,Asia,2013,7,9,390000,390150
Earthquake,Americas,2016,4,672,383090,389364
Storm,Asia,2009,9,15,388373,388373
Flood,Asia,2007,7,170,386000,386000
Flood,Asia,2017,11,22,385498,385498
Storm,Asia,2004,6,28,385000,385012
Storm,Asia,2009,4,29,383457,383465
Storm,Asia,2007,8,3,380000,380000
Flood,Asia,2016,6,14,377667,377667
Flood,Americas,2017,1,15,376000,376000
Flood,Asia,2016,7,289,375000,375000
Flood,Asia,2013,10,72,375000,375000
Storm,Americas,2011,8,46,370000,370000
Earthquake,Asia,2011,3,19846,362887,368820
Flood,Asia,2008,9,6,365675,365678
Flood,Asia,2008,5,25,362582,362582
Flood,Africa,2006,10,80,361600,361600
Flood,Asia,2019,7,17,360000,360000
Flood,Asia,2008,11,15,360000,360000
Flood,Asia,2006,5,57,356000,356000
Earthquake,Asia,2008,5,8,0,351000
Flood,Asia,2013,6,20,350000,350077
Flood,Asia,2006,5,3,0,350035
Flood,Africa,2009,3,92,350000,350000
Flood,Americas,2013,4,52,350000,350000
Flood,Asia,2007,7,29,350000,350000
Storm,Americas,2004,9,15,350000,350000
Flood,Africa,2019,7,78,346300,346300
Flood,Americas,2004,10,36,345314,345386
Storm,Africa,2019,4,8,345131,345311
Flood,Asia,2006,5,116,342895,342895
Storm,Asia,2008,6,14,340000,340000
Flood,Europe,2007,7,7,340000,340000
Earthquake,Asia,2009,9,128,338350,339792
Flood,Americas,2007,1,40,339495,339495
Flood,Americas,2013,10,74,338995,338995
Storm,Asia,2005,9,75,337632,337660
Flood,Americas,2019,2,60,335540,335540
Flood,Asia,2017,2,13,334000,334000
Flood,Asia,2006,10,25,333000,333002
Flood,Africa,2007,8,56,332600,332600
Flood,Africa,2004,1,27,330000,331700
Flood,Africa,2020,6,65,329958,329958
Storm,Asia,2006,12,42,327500,327542
Earthquake,Asia,2012,2,113,320165,320277
Storm,Asia,2015,8,40,318359,318383
Storm,Americas,2004,9,2754,298926,315594
Flood,Americas,2008,10,67,313350,313357
Flood,Americas,2019,4,16,310595,310595
Flood,Asia,2019,9,16,309176,309176
Storm,Americas,2020,5,2,306000,306886
Flood,Asia,2016,5,203,301602,301602
Earthquake,Oceania,2011,2,181,300000,301500
Storm,Asia,2018,10,85,300000,300200
Earthquake,Oceania,2010,9,0,300000,300002
Flood,Asia,2006,6,130,300000,300000
Flood,Asia,2014,9,65,300000,300000
Flood,Asia,2013,5,55,300000,300000
Flood,Americas,2011,9,35,300000,300000
Flood,Asia,2011,9,24,300000,300000
Storm,Americas,2011,6,22,300000,300000
Storm,Americas,2005,9,10,300000,300000
Flood,Asia,2009,12,3,300000,300000
Flood,Africa,2006,10,52,299000,299000
Earthquake,Asia,2016,4,49,272763,298432
Flood,Africa,2010,8,0,290000,290000
Flood,Americas,2008,1,41,275000,289122
Storm,Asia,2015,12,46,287227,287251
Flood,Africa,2007,1,29,285000,285000
Flood,Americas,2015,7,3,283140,283140
Storm,Asia,2006,10,34,282963,283021
Flood,Asia,2017,6,4,282345,282420
Flood,Africa,2012,4,73,280670,280670
Flood,Asia,2013,6,11,280500,280500
Flood,Asia,2007,10,3,280000,280000
Storm,Asia,2012,10,11,0,278490
Flood,Asia,2014,9,298,275000,275000
Flood,Europe,2004,4,0,275000,275000
Flood,Americas,2005,1,34,274774,274774
